,label,sentence,con_score,lib_score,prediction
0,Liberal,Forcing middle-class workers to bear a greater share of the cost of government weakens their support for needed investments and stirs resentment toward those who depend on public services the most .,0.1224311759244231,0.8775688240755769,liberal
1,Liberal,"Because it would not be worthwhile to bring a case for $ 30.22 , the arbitration clause would , as a practical matter , deny the Concepcions any relief and , more important , eliminate a class action that might punish AT&T for its pattern of fraudulent behavior .",0.4349088965185839,0.5650911034814161,liberal
2,Liberal,"Indeed , Lind argues that high profits and high wages reinforce each other because workers then have the wherewithal to buy the products they are making .",0.039255143238477785,0.9607448567615222,liberal
3,Liberal,"In fairness , it should be noted that he devotes an entire chapter to New York Times political columnist Maureen Dowd , a liberal who makes much of the outsized rivalries , jealousies , and personalities that dominate American politics .",0.18732099076759645,0.8126790092324035,liberal
4,Liberal,"Psychological tactics are social control techniques that operate at the level of the mind , with the goal of creating fear and making it difficult for protesters to successfully mobilize .",0.3206986862009463,0.6793013137990537,liberal
5,Liberal,The uncontrolled profit motive is destroying health and increasing medical costs dramatically as it poisons its customers with adulterated and unhealthy foods .,0.696806245419415,0.30319375458058495,conservative
6,Liberal,"Organizations representing the religious right have loyally rallied their members to support the conservative agenda , often using some deft intellectual gymnastics to justify their support .",0.42477575270159074,0.5752242472984093,liberal
7,Liberal,"A market based on greed and fear has tugged on some of the worst things in us , and we are now paying the consequences .",0.7367117000246298,0.2632882999753702,conservative
8,Liberal,"THE CONSERVATIVE MOVEMENT IS ROOTED IN A COHERent , easy-to-summarize ideology : Government does n't work , except to protect you from terrorists ; you deserve to keep more of your own money ; cherished American family values , including national security , are under assault from liberals .",0.5205522109478569,0.4794477890521432,conservative
9,Liberal,"By eliminating the private insurer , you could save between $ 350 billion and $ 400 billion a year in administrative costs .21 If everyone was covered by the health care system , costs would be easier to control , and incentives could prompt health care providers to compete on price and quality .",0.3809722851514963,0.6190277148485037,liberal
10,Liberal,"The additional schooling foisted upon one group by this arbitrary state of affairs produced a scaled-down version of our experiment , allowing Angrist and Krueger to conclude that education did , in fact , help people earn more money .",0.5747678896641975,0.4252321103358026,conservative
11,Liberal,"If the government will do its job and prevent the flood of illegal immigration , and we will all help assure that immigrants become productive and loyal citizens , most Americans should come to see the value of immigration and view immigrants as valuable consumers and important creators of wealth .",0.8268692782863503,0.1731307217136497,conservative
