,label,sentence,con_score,lib_score,prediction
0,Liberal,Forcing middle-class workers to bear a greater share of the cost of government weakens their support for needed investments and stirs resentment toward those who depend on public services the most .,0.040193625476034,0.959806374523966,liberal
1,Liberal,"Because it would not be worthwhile to bring a case for $ 30.22 , the arbitration clause would , as a practical matter , deny the Concepcions any relief and , more important , eliminate a class action that might punish AT&T for its pattern of fraudulent behavior .",0.5665554185644381,0.4334445814355619,conservative
2,Liberal,"Indeed , Lind argues that high profits and high wages reinforce each other because workers then have the wherewithal to buy the products they are making .",0.04417354900731585,0.9558264509926842,liberal
3,Liberal,"In fairness , it should be noted that he devotes an entire chapter to New York Times political columnist Maureen Dowd , a liberal who makes much of the outsized rivalries , jealousies , and personalities that dominate American politics .",0.03928252665418219,0.9607174733458178,liberal
4,Liberal,"Psychological tactics are social control techniques that operate at the level of the mind , with the goal of creating fear and making it difficult for protesters to successfully mobilize .",0.6279205689314598,0.3720794310685402,conservative
5,Liberal,The uncontrolled profit motive is destroying health and increasing medical costs dramatically as it poisons its customers with adulterated and unhealthy foods .,0.4662039512165215,0.5337960487834785,liberal
6,Liberal,"Organizations representing the religious right have loyally rallied their members to support the conservative agenda , often using some deft intellectual gymnastics to justify their support .",0.05525428762769169,0.9447457123723083,liberal
7,Liberal,"A market based on greed and fear has tugged on some of the worst things in us , and we are now paying the consequences .",0.43596559093779974,0.5640344090622003,liberal
8,Liberal,"THE CONSERVATIVE MOVEMENT IS ROOTED IN A COHERent , easy-to-summarize ideology : Government does n't work , except to protect you from terrorists ; you deserve to keep more of your own money ; cherished American family values , including national security , are under assault from liberals .",0.8079493836169529,0.1920506163830471,conservative
9,Liberal,"By eliminating the private insurer , you could save between $ 350 billion and $ 400 billion a year in administrative costs .21 If everyone was covered by the health care system , costs would be easier to control , and incentives could prompt health care providers to compete on price and quality .",0.439961866171253,0.560038133828747,liberal
10,Liberal,"The additional schooling foisted upon one group by this arbitrary state of affairs produced a scaled-down version of our experiment , allowing Angrist and Krueger to conclude that education did , in fact , help people earn more money .",0.6232015593817377,0.37679844061826234,conservative
11,Liberal,"If the government will do its job and prevent the flood of illegal immigration , and we will all help assure that immigrants become productive and loyal citizens , most Americans should come to see the value of immigration and view immigrants as valuable consumers and important creators of wealth .",0.4236932885425939,0.5763067114574061,liberal
12,Liberal,"The rich countries that are primarily responsible for climate change , led by the U.S. , with Russia and Japan , are to blame for the lack of desperately needed greater ambition .",0.8874500212034473,0.11254997879655274,conservative
13,Liberal,"These people said to us : Well , if you just would do away with Glass-Steagall , if you will just allow financial institutions , commercial banks , investment banks , insurance companies , if you allow them to merge , do away with these walls which Glass-Steagall , since the Great Depression , established , my God , it will be just terrific .",0.05268064700774511,0.9473193529922549,liberal
14,Liberal,Inevitably this forced them to cut some $ 270 billion out of the Medicare budget over a five-year span in order to finance a tax cut of roughly equal size .,0.4371552266552323,0.5628447733447677,liberal
15,Liberal,"Hostility to taxes and open redistribution reflects a moral belief about what makes the country great , one that may fit awkwardly with Bush 's language of compassion and opportunity , but which is openly hostile to a progressive picture of shared economic sacrifice .",0.549101465884198,0.450898534115802,conservative
16,Liberal,"I THINK the central idea in Marxism is of course one of contradiction , that the capitalist system is seen in its very foundation as containing a series of contradictions that clash with each other and therefore produce a society always founded on tensions of various sorts .",0.10786998357496591,0.8921300164250341,liberal
17,Liberal,"Baucus had played a key role in helping George W. Bush enact tax cuts for the wealthy , and he took pride in his good relations with conservative Republicans , especially Iowa senator Chuck Grassley and Wyoming senator Mike Enzi .",0.14981155693022485,0.8501884430697751,liberal
18,Liberal,"We are not going to let working families who are suffering hard times because , through no fault of their own , they have lost their jobs , we are not going to let them lose their homes or not enable them to feed their families .",0.4127755498083251,0.5872244501916749,liberal
19,Liberal,Johnston shows why lowincome people using the earned income tax credit are far more likely to be audited than rich people using baroque tax shelters .,0.3493035086669902,0.6506964913330098,liberal
20,Liberal,"Del Vecchio 's words manifest not merely an ethos of marketing , but politics made argumentative and simplistic ; ideology focused on narcissism and interest ; tele-religion and commercialized revivalism offering shallow solutions to deep problems-all deployed on behalf of a declining global economy unable to sell the poor what they need but laying desperately to sell the prosperous what they do n't need .",0.07325882859265276,0.9267411714073472,liberal
21,Liberal,Medical workers and other scientists should better use the media to confront abuses of science by corporations and governments and to better educate the public regarding the pernicious effects of corporations on public health .,0.06661011228687319,0.9333898877131268,liberal
22,Liberal,"Besides acidification , there are serious effects on fundamental biological productivity , since warming surface layers makes them circulate less with cooler , lower waters , thus increasing ocean `` stratification .",0.7089809622051709,0.29101903779482907,conservative
23,Liberal,"One reason is that the Keynesian intellectual basis for the stimulus is harder to explain than the intuitive ( but wrong ) gut reaction that when times are tight , the government should tighten its belt , too .",0.2519858625285054,0.7480141374714946,liberal
24,Liberal,It is possible to create a high-functioning universal health care system without creating a public insurance option .,0.1089821281226615,0.8910178718773385,liberal
